1,George,Washington,Westmoreland County,Virginia,no party
2,John,Adams,"Braintree, Norfolk",Massachusetts,Federalist
3,Thomas,Jefferson,Albermarle County,Virginia,Democratic - Republican
4,James,Madison,Port Conway,Virginia,Democratic - Republican
5,James,Monroe,Westmoreland County,Virginia,Democratic - Republican
6,John Quincy,Adams,"Braintree, Norfolk",Massachusetts,Democratic - Republican
7,Andrew,Jackson,Waxhaw,South Carolina,Democratic
8,Martin,Van Buren,Kinderhook,New York,Democratic
9,William Henry,Harrison,Berkeley,Virginia,Whig
10,John,Tyler,Charles City County,Virginia,Whig
11,James Knox,Polk,Mecklenburg County,North Carolina,Democratic
12,Zachary,Taylor,Orange County,Virginia,Whig
13,Millard,Fillmore,Cayuga County,New York,Whig
14,Franklin,Pierce,Hillsboro,New Hampshire,Democratic
15,James,Buchanan,Cove Gap,Pennsylvania,Democratic
16,Abraham,Lincoln,"Hodgenville, Hardin County",Kentucky,Republican
17,Andrew,Johnson,Raleigh,North Carolina,Republican
18,Ulysses Simpson,Grant,Point Pleasant,Ohio,Republican
19,Rutherford Birchard,Hayes,Delaware,Ohio,Republican
20,James Abram,Garfield,"Orange, Cuyahoga County",Ohio,Republican
21,Chester Alan,Arthur,Fairfield,Vermont,Republican
22,Grover,Cleveland,Caldwell,New Jersey,Democratic
23,Benjamin,Harrison,North Bend,Ohio,Republican
24,Grover,Cleveland,Caldwell,New Jersey,Democratic
25,William,McKinley,Niles,Ohio,Republican
26,Theodore,Roosevelt,New York City,New York,Republican
27,William Howard,Taft,Cincinnati,Ohio,Republican
28,Woodrow,Wilson,Staunton,Virginia,Democratic
29,Warren Gamaliel,Harding,Blooming Grove,Ohio,Republican
30,Calvin,Coolidge,Plymouth,Vermont,Republican
31,Herbert Clark,Hoover,West Branch,Iowa,Republican
32,Franklin Delano,Roosevelt,Hyde Park,New York,Democratic
33,Harry S.,Truman,Lamar,Missouri,Democratic
34,Dwight David,Eisenhower,Denison,Texas,Republican
35,John Fitzgerald,Kennedy,Brookline,Massachusetts,Democratic
36,Lyndon Baines,Johnson,near Stonewall,Texas,Democratic
37,Richard Milhous,Nixon,Yorba Linda,California,Republican
38,Gerald Rudolph,Ford,Omaha,Nebraska,Republican
39,James Earl 'Jimmy',Carter,Plains,Georgia,Democratic
40,Ronald Wilson,Reagan,Tampico,Illinois,Republican
41,George Herbert Walker,Bush,Milton,Massachusetts,Republican
42,William Jefferson 'Bill',Clinton,Hope,Arkansas,Democratic
43,George Walker,Bush,New Haven,Connecticut,Republican
44,Barack Hussein,Obama,Honolulu,Hawaii,Democratic
45,Donald John,Trump,"Queens, NYC",New York,Republican
46,Joseph Robinette,Biden,Scranton,Pennsylvania,Democratic
